;PalindromRekursiv;PalindromIterativ
Bob;794600;15800
Bub;4400;2100
Ehe;1900;1200
Pop;1500;1100
Rar;1200;1000
Rur;1000;1000
SOS;1100;1100
Tot;1300;1100
Tat;1100;900
Uhu;1000;1000
Abba;1100;1000
Anna;3000;1100
Atta;1200;900
Ebbe;1100;1000
Effe;1100;1200
Egge;1100;1000
Elle;1000;900
Esse;1200;1000
Otto;1100;1200
Poop;1000;1000
Dioid;1200;1000
Kajak;1200;1000
Legel;1300;1000
Level;1300;1100
neben;1200;2700
Radar;1700;1300
Reder;1400;1100
Rotor;3200;1100
Sojos;1600;1000
stets;1300;1000
hangnah;1500;1200
Hannah;1400;1000
nennen;1600;1000
neppen;1200;1000
Neffen;1300;1100
Redder;1300;1000
Renner;1300;2700
Retter;1200;1100
Tannat;1300;1000
Tillit;1200;1000
Grassarg;1500;1100
Neozoen;3100;1100
Rentner;1500;1000
Rotator;1400;1100
Tartrat;1500;1000
Testset;1400;1100
torfrot;2000;1000
Trabart;1400;1100
Tramart;1400;1200
Tranart;1500;1100
Reittier;1500;1100
Lagerregal;1800;1200
Regallager;1700;1200
Aibohphobia;3400;1200
Reliefpfeiler;2200;1400
Ein Esel lese nie;2900;1500
AAAAAAAAAAAAAAAAAAAAA;3500;1600
BBBBBBBBBBBBBBBBBBBBBBBBBb;4400;3400
CCCcccccccccccccccccccccccccccc;14600;1900
DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDddd;6900;2100
EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEe;9900;2300
FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFfff;14600;4400
Gggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg;17300;3100
HHHHHHHHHHHHHHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh;20200;3300
Iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii;29600;3700
JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj;41100;4300
