X	Y
Bob	582917	
Bub	15581	
Ehe	8728	
Pop	7579	
Rar	7598	
Rur	7435	
SOS	7124	
Tot	7084	
Tat	7060	
Uhu	9434	
Abba	7639	
Anna	7517	
Atta	8877	
Ebbe	7583	
Effe	10560	
Egge	7441	
Elle	21316	
Esse	12103	
Otto	11822	
Poop	11870	
Dioid	14700	
Kajak	10590	
Legel	9655	
Level	9484	
neben	8037	
Radar	17798	
Reder	14939	
Rotor	24564	
Sojos	16202	
stets	13962	
hangnah	18313	
Hannah	16815	
nennen	13764	
neppen	13705	
Neffen	17018	
Redder	16559	
Renner	18623	
Retter	16144	
Tannat	14535	
Tillit	15321	
Grassarg	18923	
Neozoen	22686	
Rentner	17601	
Rotator	18659	
Tartrat	29985	
Testset	27704	
torfrot	23887	
Trabart	17504	
Tramart	17473	
Tranart	16956	
Reittier	26771	
Lagerregal	18432	
Regallager	17866	
Aibohphobia	20506	
Reliefpfeiler	38116	
Ein Esel lese nie	30872	
AAAAAAAAAAAAAAAAAAAAA	35397	
BBBBBBBBBBBBBBBBBBBBBBBBBb	51580	
CCCcccccccccccccccccccccccccccc	56315	
DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDddd	80580	
EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEe	100393	
FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFfff	119010	
Gggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg	191568	
HHHHHHHHHHHHHHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh	188104	
Iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii	288618	
JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj	365844	
PalindromIterativ	
Bob	48372	
Bub	7234	
Ehe	6353	
Pop	5799	
Rar	6038	
Rur	5261	
SOS	5294	
Tot	5211	
Tat	5275	
Uhu	5196	
Abba	4889	
Anna	4787	
Atta	4537	
Ebbe	31781	
Effe	18111	
Egge	6891	
Elle	6076	
Esse	5717	
Otto	6065	
Poop	6586	
Dioid	6100	
Kajak	5963	
Legel	6092	
Level	5346	
neben	5333	
Radar	5164	
Reder	5705	
Rotor	5322	
Sojos	5117	
stets	4835	
hangnah	7077	
Hannah	4982	
nennen	11905	
neppen	5098	
Neffen	4821	
Redder	4674	
Renner	4901	
Retter	4464	
Tannat	4608	
Tillit	5216	
Grassarg	10445	
Neozoen	5279	
Rentner	4580	
Rotator	4626	
Tartrat	4550	
Testset	4684	
torfrot	4674	
Trabart	4947	
Tramart	4931	
Tranart	5036	
Reittier	4761	
Lagerregal	5181	
Regallager	5026	
Aibohphobia	4944	
Reliefpfeiler	5116	
Ein Esel lese nie	5758	
AAAAAAAAAAAAAAAAAAAAA	5921	
BBBBBBBBBBBBBBBBBBBBBBBBBb	5742	
CCCcccccccccccccccccccccccccccc	6519	
DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDddd	7716	
EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEe	14030	
FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFfff	11966	
Gggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg	10038	
HHHHHHHHHHHHHHhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh	10040	
Iiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii	11151	
JJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJJjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjjj	12608	
